,nodes,devices
SDSCRQ1,38,36
DFCRQ2,39,37
SDCRQM,39,37
SDCRQ1,39,37
SDCRQ0,39,37
AD01D3,39,37
DENRQ2,39,37
DMNRQ2,39,37
CKINVD20,39,37
SDCFB1,40,38
DFPRB2,40,38
AOI221D4,40,38
SDPRB0,40,38
AH01D3,40,38
SDCFB0,40,38
CKBUFD20,41,39
LACHB3,41,39
LABHB2,41,39
SDBRQ0,41,39
SDPRQ0,41,39
SDPRQ1,41,39
SDPRQM,41,39
SDSCRQ2,41,39
SDANRQ2,41,39
DFCRB2,41,39
MX04D2,42,40
SDPRB1,42,40
AOI32D4,42,40
LABLB3,42,40
SDNFQ2,42,40
DFCFB2,42,40
INV0D20,42,40
OAI221D4,42,40
SDCRQ2,42,40
SDCRB0,42,40
DFBRQ2,43,41
ADFH01D2,43,41
SDBRQ1,43,41
SDCRB1,43,41
SDBRB0,43,41
SDCRBM,43,41
SDNRQ2,43,41
MX04D3,44,42
OAI32D4,44,42
SDPRQ2,45,43
DFBFB2,45,43
BUFFD16,46,44
SDMNRQ1,46,44
SDBRB1,46,44
SDMNRQ0,46,44
SDBRBM,46,44
SDPRB2,46,44
SDNFB2,46,44
SENRQ1,46,44
SENRQ0,46,44
SDBFB0,46,44
SDBFB1,46,44
DFBRB2,47,45
SDMNRQ2,47,45
SDNRB2,47,45
SDCRB2,48,46
SENRQ2,48,46
SDCFB2,49,47
SDPFB2,49,47
LABHB3,49,47
OAI33D4,50,48
AOI222D4,50,48
BUFTD12,52,50
SDBRQ2,53,51
AOI33D4,54,52
OAI222D4,54,52
CKINVD30,55,53
INVTLD12,55,53
SDBFB2,55,53
BUFFD20,56,54
SDBRB2,59,57
CKBUFD30,65,63
BUFTD16,68,66
INVTLD16,72,70
CKINVD40,73,71
BUFTD20,81,79
CKBUFD40,82,80
INVTLD20,85,83
CKINVD80,143,141
CKBUFD80,163,161
