_dff      , c153      , DFNRN2         :  DFNRN          ,  ['DF', 'N', 'R', 'N', '', '', ''] 
_dff      , c153      , DFNRQ1         :  DFNRQ          ,  ['DF', 'N', 'R', 'Q', '', '', ''] 
_dff      , c153      , DFNRQ2         :  DFNRQ          ,  ['DF', 'N', 'R', 'Q', '', '', ''] 
_dff      , c153      , DFPFB1         :  DFPFB          ,  ['DF', 'P', 'F', 'B', '', '', ''] 
_dff      , c153      , DFPFB2         :  DFPFB          ,  ['DF', 'P', 'F', 'B', '', '', ''] 
_dff      , c153      , DFPRB1         :  DFPRB          ,  ['DF', 'P', 'R', 'B', '', '', ''] 
_dff      , c153      , DFPRB2         :  DFPRB          ,  ['DF', 'P', 'R', 'B', '', '', ''] 
_dff      , c153      , DFPRQ1         :  DFPRQ          ,  ['DF', 'P', 'R', 'Q', '', '', ''] 
_dff      , c153      , DFPRQ2         :  DFPRQ          ,  ['DF', 'P', 'R', 'Q', '', '', ''] 
_dff      , c110      , DENRQ0         :  DFNRQ_E        ,  ['DF', 'N', 'R', 'Q', '_E', '', ''] 
_dff      , c110      , DENRQ1         :  DFNRQ_E        ,  ['DF', 'N', 'R', 'Q', '_E', '', ''] 
_dff      , c110      , DENRQ2         :  DFNRQ_E        ,  ['DF', 'N', 'R', 'Q', '_E', '', ''] 
_dff      , c110      , DFANRQ0        :  DFNRQ_M        ,  ['DF', 'N', 'R', 'Q', '', '', '_M'] 
_dff      , c110      , DFANRQ1        :  DFNRQ_M        ,  ['DF', 'N', 'R', 'Q', '', '', '_M'] 
_dff      , c110      , DFANRQ2        :  DFNRQ_M        ,  ['DF', 'N', 'R', 'Q', '', '', '_M'] 
_dff      , c110      , DFBFB0         :  DFBFB          ,  ['DF', 'B', 'F', 'B', '', '', ''] 
_dff      , c110      , DFBFB1         :  DFBFB          ,  ['DF', 'B', 'F', 'B', '', '', ''] 
_dff      , c110      , DFBFB2         :  DFBFB          ,  ['DF', 'B', 'F', 'B', '', '', ''] 
_dff      , c110      , DFBRB0         :  DFBRB          ,  ['DF', 'B', 'R', 'B', '', '', ''] 
_dff      , c110      , DFBRB1         :  DFBRB          ,  ['DF', 'B', 'R', 'B', '', '', ''] 
_dff      , c110      , DFBRB2         :  DFBRB          ,  ['DF', 'B', 'R', 'B', '', '', ''] 
_dff      , c110      , DFBRBM         :  DFBRB          ,  ['DF', 'B', 'R', 'B', '', '', ''] 
_dff      , c110      , DFBRQ0         :  DFBRQ          ,  ['DF', 'B', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFBRQ1         :  DFBRQ          ,  ['DF', 'B', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFBRQ2         :  DFBRQ          ,  ['DF', 'B', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFCFB0         :  DFCFB          ,  ['DF', 'C', 'F', 'B', '', '', ''] 
_dff      , c110      , DFCFB1         :  DFCFB          ,  ['DF', 'C', 'F', 'B', '', '', ''] 
_dff      , c110      , DFCFB2         :  DFCFB          ,  ['DF', 'C', 'F', 'B', '', '', ''] 
_dff      , c110      , DFCRB0         :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , c110      , DFCRB1         :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , c110      , DFCRB2         :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , c110      , DFCRBM         :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , c110      , DFCRQ0         :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFCRQ1         :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFCRQ2         :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFCRQ3         :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFCRQM         :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFNFB0         :  DFNFB          ,  ['DF', 'N', 'F', 'B', '', '', ''] 
_dff      , c110      , DFNFB1         :  DFNFB          ,  ['DF', 'N', 'F', 'B', '', '', ''] 
