*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.0
Date: 		2010-05-06
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	10.000	7.21E-02	6.66E-02	3.64E-03	2.13E-03	3.15E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.150	2.91E-01	1.63E-02	5.62E-03	1.29E-01	5.33E-03
0.180	0.160	2.78E-01	1.66E-02	5.62E-03	1.22E-01	5.49E-03
0.180	0.180	2.55E-01	1.72E-02	5.62E-03	1.11E-01	5.79E-03
0.180	0.200	2.37E-01	1.78E-02	5.62E-03	1.02E-01	6.11E-03
0.180	0.250	2.04E-01	1.94E-02	5.62E-03	8.47E-02	6.89E-03
0.180	0.300	1.81E-01	2.09E-02	5.62E-03	7.31E-02	7.64E-03
0.180	0.400	1.53E-01	2.39E-02	5.62E-03	5.80E-02	9.12E-03
0.180	0.500	1.36E-01	2.67E-02	5.62E-03	4.84E-02	1.05E-02
0.180	0.600	1.24E-01	2.93E-02	5.62E-03	4.17E-02	1.19E-02
0.180	0.800	1.10E-01	3.42E-02	5.62E-03	3.28E-02	1.43E-02
0.180	1.000	1.01E-01	3.87E-02	5.62E-03	2.69E-02	1.65E-02
0.180	1.200	9.59E-02	4.27E-02	5.62E-03	2.27E-02	1.85E-02
0.180	1.400	9.23E-02	4.62E-02	5.62E-03	1.95E-02	2.03E-02
0.180	1.600	8.98E-02	4.94E-02	5.62E-03	1.69E-02	2.19E-02
0.180	1.800	8.80E-02	5.22E-02	5.62E-03	1.49E-02	2.33E-02
0.180	2.000	8.66E-02	5.47E-02	5.62E-03	1.32E-02	2.46E-02
0.180	2.500	8.46E-02	5.99E-02	5.62E-03	1.01E-02	2.71E-02
0.180	3.000	8.35E-02	6.37E-02	5.62E-03	7.91E-03	2.90E-02
0.180	4.000	8.26E-02	6.90E-02	5.62E-03	5.29E-03	3.17E-02
0.180	5.000	8.22E-02	7.21E-02	5.62E-03	3.81E-03	3.32E-02
0.180	7.000	8.19E-02	7.56E-02	5.62E-03	2.38E-03	3.50E-02
0.180	10.000	8.19E-02	7.78E-02	5.62E-03	1.55E-03	3.61E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M2 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.150	2.96E-01	3.70E-02	1.74E-02	1.24E-01	9.80E-03
0.180	0.160	2.83E-01	3.79E-02	1.74E-02	1.17E-01	1.03E-02
0.180	0.180	2.62E-01	3.96E-02	1.74E-02	1.06E-01	1.11E-02
0.180	0.200	2.44E-01	4.14E-02	1.74E-02	9.64E-02	1.20E-02
0.180	0.250	2.13E-01	4.54E-02	1.74E-02	7.88E-02	1.40E-02
0.180	0.300	1.92E-01	4.93E-02	1.74E-02	6.67E-02	1.60E-02
0.180	0.400	1.66E-01	5.64E-02	1.74E-02	5.06E-02	1.95E-02
0.180	0.500	1.52E-01	6.27E-02	1.74E-02	4.05E-02	2.27E-02
0.180	0.600	1.43E-01	6.82E-02	1.74E-02	3.34E-02	2.54E-02
0.180	0.800	1.33E-01	7.75E-02	1.74E-02	2.42E-02	3.01E-02
0.180	1.000	1.28E-01	8.48E-02	1.74E-02	1.84E-02	3.37E-02
0.180	1.200	1.25E-01	9.05E-02	1.74E-02	1.46E-02	3.66E-02
0.180	1.400	1.23E-01	9.51E-02	1.74E-02	1.18E-02	3.89E-02
0.180	1.600	1.22E-01	9.86E-02	1.74E-02	9.76E-03	4.06E-02
0.180	1.800	1.22E-01	1.02E-01	1.74E-02	8.22E-03	4.21E-02
0.180	2.000	1.21E-01	1.04E-01	1.74E-02	7.07E-03	4.32E-02
0.180	2.500	1.21E-01	1.08E-01	1.74E-02	5.02E-03	4.53E-02
0.180	3.000	1.21E-01	1.11E-01	1.74E-02	3.77E-03	4.66E-02
0.180	4.000	1.20E-01	1.14E-01	1.74E-02	2.43E-03	4.83E-02
0.180	5.000	1.20E-01	1.15E-01	1.74E-02	1.87E-03	4.90E-02
0.180	7.000	1.20E-01	1.17E-01	1.74E-02	1.26E-03	4.97E-02
0.180	10.000	1.20E-01	1.18E-01	1.74E-02	9.13E-04	5.03E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M4-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.150	2.90E-01	1.05E-02	2.38E-03	1.30E-01	4.07E-03
0.180	0.160	2.77E-01	1.07E-02	2.38E-03	1.23E-01	4.15E-03
0.180	0.180	2.54E-01	1.10E-02	2.38E-03	1.12E-01	4.32E-03
0.180	0.200	2.36E-01	1.13E-02	2.38E-03	1.03E-01	4.47E-03
0.180	0.250	2.03E-01	1.21E-02	2.38E-03	8.60E-02	4.87E-03
0.180	0.300	1.80E-01	1.28E-02	2.38E-03	7.46E-02	5.23E-03
0.180	0.400	1.51E-01	1.42E-02	2.38E-03	5.98E-02	5.92E-03
0.180	0.500	1.33E-01	1.55E-02	2.38E-03	5.07E-02	6.58E-03
0.180	0.600	1.21E-01	1.68E-02	2.38E-03	4.44E-02	7.20E-03
0.180	0.800	1.06E-01	1.91E-02	2.38E-03	3.61E-02	8.36E-03
0.180	1.000	9.59E-02	2.14E-02	2.38E-03	3.09E-02	9.49E-03
0.180	1.200	8.94E-02	2.35E-02	2.38E-03	2.71E-02	1.05E-02
0.180	1.400	8.47E-02	2.53E-02	2.38E-03	2.42E-02	1.15E-02
0.180	1.600	8.11E-02	2.72E-02	2.38E-03	2.19E-02	1.24E-02
0.180	1.800	7.85E-02	2.90E-02	2.38E-03	2.00E-02	1.33E-02
0.180	2.000	7.63E-02	3.07E-02	2.38E-03	1.84E-02	1.41E-02
0.180	2.500	7.24E-02	3.44E-02	2.38E-03	1.53E-02	1.60E-02
0.180	3.000	7.01E-02	3.77E-02	2.38E-03	1.30E-02	1.76E-02
0.180	4.000	6.73E-02	4.27E-02	2.38E-03	9.67E-03	2.02E-02
0.180	5.000	6.61E-02	4.66E-02	2.38E-03	7.63E-03	2.21E-02
0.180	7.000	6.49E-02	5.18E-02	2.38E-03	5.06E-03	2.47E-02
0.180	10.000	6.44E-02	5.61E-02	2.38E-03	3.24E-03	2.69E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M4-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.150	2.90E-01	1.08E-02	2.53E-03	1.30E-01	4.14E-03
0.180	0.160	2.77E-01	1.10E-02	2.53E-03	1.23E-01	4.21E-03
0.180	0.180	2.54E-01	1.13E-02	2.53E-03	1.12E-01	4.38E-03
0.180	0.200	2.36E-01	1.16E-02	2.53E-03	1.03E-01	4.55E-03
0.180	0.250	2.03E-01	1.25E-02	2.53E-03	8.59E-02	4.96E-03
0.180	0.300	1.80E-01	1.32E-02	2.53E-03	7.45E-02	5.32E-03
0.180	0.400	1.51E-01	1.47E-02	2.53E-03	5.98E-02	6.07E-03
0.180	0.500	1.33E-01	1.61E-02	2.53E-03	5.06E-02	6.76E-03
0.180	0.600	1.21E-01	1.74E-02	2.53E-03	4.43E-02	7.42E-03
0.180	0.800	1.06E-01	1.99E-02	2.53E-03	3.60E-02	8.66E-03
0.180	1.000	9.61E-02	2.22E-02	2.53E-03	3.07E-02	9.83E-03
0.180	1.200	8.96E-02	2.44E-02	2.53E-03	2.69E-02	1.09E-02
0.180	1.400	8.49E-02	2.64E-02	2.53E-03	2.40E-02	1.19E-02
0.180	1.600	8.14E-02	2.84E-02	2.53E-03	2.16E-02	1.29E-02
0.180	1.800	7.88E-02	3.02E-02	2.53E-03	1.97E-02	1.38E-02
0.180	2.000	7.67E-02	3.20E-02	2.53E-03	1.81E-02	1.47E-02
0.180	2.500	7.29E-02	3.58E-02	2.53E-03	1.49E-02	1.66E-02
0.180	3.000	7.06E-02	3.92E-02	2.53E-03	1.26E-02	1.83E-02
0.180	4.000	6.81E-02	4.44E-02	2.53E-03	9.33E-03	2.09E-02
0.180	5.000	6.69E-02	4.83E-02	2.53E-03	7.31E-03	2.29E-02
0.180	7.000	6.58E-02	5.34E-02	2.53E-03	4.80E-03	2.54E-02
0.180	10.000	6.54E-02	5.77E-02	2.53E-03	3.05E-03	2.76E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M4-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.150	2.90E-01	1.23E-02	3.35E-03	1.30E-01	4.48E-03
0.180	0.160	2.77E-01	1.25E-02	3.35E-03	1.23E-01	4.58E-03
0.180	0.180	2.55E-01	1.29E-02	3.35E-03	1.12E-01	4.79E-03
0.180	0.200	2.36E-01	1.34E-02	3.35E-03	1.02E-01	5.01E-03
0.180	0.250	2.03E-01	1.43E-02	3.35E-03	8.56E-02	5.48E-03
0.180	0.300	1.80E-01	1.53E-02	3.35E-03	7.41E-02	5.96E-03
0.180	0.400	1.52E-01	1.71E-02	3.35E-03	5.93E-02	6.90E-03
0.180	0.500	1.34E-01	1.89E-02	3.35E-03	5.00E-02	7.77E-03
0.180	0.600	1.22E-01	2.06E-02	3.35E-03	4.36E-02	8.61E-03
0.180	0.800	1.06E-01	2.38E-02	3.35E-03	3.52E-02	1.02E-02
0.180	1.000	9.71E-02	2.68E-02	3.35E-03	2.97E-02	1.17E-02
0.180	1.200	9.10E-02	2.95E-02	3.35E-03	2.57E-02	1.31E-02
0.180	1.400	8.66E-02	3.21E-02	3.35E-03	2.27E-02	1.44E-02
0.180	1.600	8.34E-02	3.45E-02	3.35E-03	2.02E-02	1.56E-02
0.180	1.800	8.09E-02	3.67E-02	3.35E-03	1.82E-02	1.67E-02
0.180	2.000	7.90E-02	3.87E-02	3.35E-03	1.65E-02	1.77E-02
0.180	2.500	7.59E-02	4.32E-02	3.35E-03	1.33E-02	1.99E-02
0.180	3.000	7.40E-02	4.69E-02	3.35E-03	1.09E-02	2.18E-02
