*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.24
Date: 		2015-1-16
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	1.600	8.32E-02	3.37E-02	3.35E-03	2.04E-02	1.52E-02
0.180	1.800	8.08E-02	3.59E-02	3.35E-03	1.85E-02	1.63E-02
0.180	2.000	7.89E-02	3.79E-02	3.35E-03	1.68E-02	1.73E-02
0.180	2.500	7.57E-02	4.22E-02	3.35E-03	1.35E-02	1.94E-02
0.180	3.000	7.37E-02	4.59E-02	3.35E-03	1.12E-02	2.13E-02
0.180	4.000	7.17E-02	5.16E-02	3.35E-03	8.05E-03	2.41E-02
0.180	5.000	7.08E-02	5.54E-02	3.35E-03	6.12E-03	2.60E-02
0.180	7.000	7.01E-02	6.06E-02	3.35E-03	3.83E-03	2.86E-02
0.180	10.000	6.98E-02	6.44E-02	3.35E-03	2.22E-03	3.05E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M3-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.160	2.77E-01	1.28E-02	3.64E-03	1.23E-01	4.58E-03
0.180	0.180	2.55E-01	1.32E-02	3.64E-03	1.12E-01	4.80E-03
0.180	0.200	2.36E-01	1.37E-02	3.64E-03	1.02E-01	5.02E-03
0.180	0.250	2.03E-01	1.47E-02	3.64E-03	8.55E-02	5.52E-03
0.180	0.300	1.81E-01	1.57E-02	3.64E-03	7.41E-02	6.03E-03
0.180	0.400	1.52E-01	1.77E-02	3.64E-03	5.92E-02	7.02E-03
0.180	0.500	1.34E-01	1.95E-02	3.64E-03	4.99E-02	7.95E-03
0.180	0.600	1.22E-01	2.13E-02	3.64E-03	4.35E-02	8.84E-03
0.180	0.800	1.07E-01	2.47E-02	3.64E-03	3.50E-02	1.05E-02
0.180	1.000	9.75E-02	2.78E-02	3.64E-03	2.94E-02	1.21E-02
0.180	1.200	9.14E-02	3.07E-02	3.64E-03	2.55E-02	1.35E-02
0.180	1.400	8.71E-02	3.33E-02	3.64E-03	2.24E-02	1.49E-02
0.180	1.600	8.40E-02	3.58E-02	3.64E-03	1.99E-02	1.61E-02
0.180	1.800	8.16E-02	3.81E-02	3.64E-03	1.79E-02	1.72E-02
0.180	2.000	7.98E-02	4.02E-02	3.64E-03	1.63E-02	1.83E-02
0.180	2.500	7.68E-02	4.48E-02	3.64E-03	1.30E-02	2.06E-02
0.180	3.000	7.50E-02	4.85E-02	3.64E-03	1.07E-02	2.24E-02
0.180	4.000	7.31E-02	5.42E-02	3.64E-03	7.58E-03	2.53E-02
0.180	5.000	7.23E-02	5.80E-02	3.64E-03	5.71E-03	2.72E-02
0.180	7.000	7.17E-02	6.30E-02	3.64E-03	3.53E-03	2.97E-02
0.180	10.000	7.15E-02	6.65E-02	3.64E-03	2.03E-03	3.14E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.160	2.77E-01	1.63E-02	5.62E-03	1.22E-01	5.36E-03
0.180	0.180	2.55E-01	1.70E-02	5.62E-03	1.11E-01	5.68E-03
0.180	0.200	2.37E-01	1.76E-02	5.62E-03	1.02E-01	5.98E-03
0.180	0.250	2.04E-01	1.91E-02	5.62E-03	8.47E-02	6.76E-03
0.180	0.300	1.81E-01	2.06E-02	5.62E-03	7.31E-02	7.50E-03
0.180	0.400	1.53E-01	2.35E-02	5.62E-03	5.80E-02	8.95E-03
0.180	0.500	1.36E-01	2.63E-02	5.62E-03	4.85E-02	1.04E-02
0.180	0.600	1.24E-01	2.89E-02	5.62E-03	4.18E-02	1.16E-02
0.180	0.800	1.09E-01	3.38E-02	5.62E-03	3.29E-02	1.41E-02
0.180	1.000	1.01E-01	3.81E-02	5.62E-03	2.70E-02	1.63E-02
0.180	1.200	9.57E-02	4.21E-02	5.62E-03	2.28E-02	1.82E-02
0.180	1.400	9.21E-02	4.56E-02	5.62E-03	1.96E-02	2.00E-02
0.180	1.600	8.95E-02	4.87E-02	5.62E-03	1.71E-02	2.15E-02
0.180	1.800	8.77E-02	5.15E-02	5.62E-03	1.50E-02	2.29E-02
0.180	2.000	8.64E-02	5.40E-02	5.62E-03	1.34E-02	2.42E-02
0.180	2.500	8.43E-02	5.91E-02	5.62E-03	1.02E-02	2.67E-02
0.180	3.000	8.32E-02	6.30E-02	5.62E-03	8.10E-03	2.87E-02
0.180	4.000	8.22E-02	6.82E-02	5.62E-03	5.48E-03	3.13E-02
0.180	5.000	8.18E-02	7.17E-02	5.62E-03	3.97E-03	3.30E-02
0.180	7.000	8.15E-02	7.55E-02	5.62E-03	2.42E-03	3.49E-02
0.180	10.000	8.14E-02	7.79E-02	5.62E-03	1.42E-03	3.62E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M2 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.160	2.83E-01	3.76E-02	1.74E-02	1.17E-01	1.01E-02
0.180	0.180	2.62E-01	3.94E-02	1.74E-02	1.06E-01	1.10E-02
0.180	0.200	2.44E-01	4.11E-02	1.74E-02	9.65E-02	1.19E-02
0.180	0.250	2.13E-01	4.52E-02	1.74E-02	7.89E-02	1.39E-02
0.180	0.300	1.92E-01	4.91E-02	1.74E-02	6.67E-02	1.59E-02
0.180	0.400	1.66E-01	5.61E-02	1.74E-02	5.07E-02	1.94E-02
0.180	0.500	1.52E-01	6.24E-02	1.74E-02	4.06E-02	2.25E-02
0.180	0.600	1.43E-01	6.79E-02	1.74E-02	3.35E-02	2.53E-02
0.180	0.800	1.33E-01	7.71E-02	1.74E-02	2.43E-02	2.99E-02
0.180	1.000	1.28E-01	8.43E-02	1.74E-02	1.85E-02	3.35E-02
0.180	1.200	1.25E-01	9.00E-02	1.74E-02	1.47E-02	3.63E-02
0.180	1.400	1.23E-01	9.45E-02	1.74E-02	1.19E-02	3.86E-02
0.180	1.600	1.22E-01	9.82E-02	1.74E-02	9.89E-03	4.04E-02
0.180	1.800	1.22E-01	1.01E-01	1.74E-02	8.33E-03	4.18E-02
0.180	2.000	1.21E-01	1.03E-01	1.74E-02	7.13E-03	4.30E-02
0.180	2.500	1.21E-01	1.08E-01	1.74E-02	5.08E-03	4.52E-02
0.180	3.000	1.20E-01	1.10E-01	1.74E-02	3.82E-03	4.66E-02
0.180	4.000	1.20E-01	1.14E-01	1.74E-02	2.50E-03	4.82E-02
0.180	5.000	1.20E-01	1.15E-01	1.74E-02	1.81E-03	4.90E-02
0.180	7.000	1.20E-01	1.17E-01	1.74E-02	1.22E-03	4.98E-02
0.180	10.000	1.20E-01	1.18E-01	1.74E-02	7.91E-04	5.04E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M4-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.160	2.77E-01	1.03E-02	2.38E-03	1.23E-01	3.95E-03
