M18.2 pmos3v 11.830000 28.930000 15.650000 50.790000  12.740000 29.360000 R0 2u 21u
vias M2_M1 84.405000 9.620000 84.785000 11.560000  R0 4 1
vias M2_M1 93.645000 9.620000 94.025000 11.560000  R0 4 1
vias M2_M1 90.000000 55.410000 90.380000 57.350000  R0 4 1
vias M2_M1 92.105000 12.560000 92.485000 14.500000  R0 4 1
vias M2_M1 89.025000 12.560000 89.405000 14.500000  R0 4 1
vias M2_M1 85.945000 12.560000 86.325000 14.500000  R0 4 1
vias M2_M1 82.880000 12.560000 83.260000 14.500000  R0 4 1
vias M2_M1 86.920000 55.410000 87.300000 57.350000  R0 4 1
vias M2_M1 50.205000 11.155000 50.585000 13.095000  R0 4 1
vias M2_M1 47.765000 15.095000 48.145000 17.035000  R0 4 1
vias M2_M1 74.670000 12.560000 75.050000 14.500000  R0 4 1
vias M2_M1 71.605000 12.560000 71.985000 14.500000  R0 4 1
vias M2_M1 36.545000 17.560000 36.925000 19.500000  R0 4 1
vias M2_M1 7.200000 58.170000 7.580000 60.110000  R0 4 1
vias M2_M1 68.525000 12.560000 68.905000 14.500000  R0 4 1
vias M2_M1 65.445000 12.560000 65.825000 14.500000  R0 4 1
vias M2_M1 33.065000 17.560000 33.445000 19.500000  R0 4 1
vias M2_M1 87.485000 9.620000 87.865000 11.560000  R0 4 1
vias M2_M1 90.565000 9.620000 90.945000 11.560000  R0 4 1
vias M2_M1 81.325000 9.620000 81.705000 11.560000  R0 4 1
vias M2_M1 73.240000 58.170000 73.620000 60.110000  R0 4 1
vias M2_M1 68.160000 58.170000 68.540000 60.110000  R0 4 1
vias M2_M1 63.080000 58.170000 63.460000 60.110000  R0 4 1
vias M2_M1 58.000000 58.170000 58.380000 60.110000  R0 4 1
vias M2_M1 52.920000 58.170000 53.300000 60.110000  R0 4 1
vias M2_M1 47.840000 58.170000 48.220000 60.110000  R0 4 1
vias M2_M1 42.760000 58.170000 43.140000 60.110000  R0 4 1
vias M2_M1 37.680000 58.170000 38.060000 60.110000  R0 4 1
vias M2_M1 22.440000 58.170000 22.820000 60.110000  R0 4 1
vias M2_M1 17.360000 58.170000 17.740000 60.110000  R0 4 1
vias M2_M1 12.280000 58.170000 12.660000 60.110000  R0 4 1
vias M2_M1 9.740000 15.095000 10.120000 17.035000  R0 4 1
vias M2_M1 14.820000 11.155000 15.200000 13.095000  R0 4 1
vias M2_M1 4.660000 11.155000 5.040000 13.095000  R0 4 1
vias M2_M1 9.740000 39.540000 10.120000 41.480000  R0 4 1
vias M2_M1 14.820000 43.480000 15.200000 45.420000  R0 4 1
vias M2_M1 4.660000 43.480000 5.040000 45.420000  R0 4 1
vias M2_M1 17.370000 7.220000 17.750000 9.160000  R0 4 1
vias M2_M1 2.120000 7.220000 2.500000 9.160000  R0 4 1
vias M2_M1 12.280000 7.220000 12.660000 9.160000  R0 4 1
vias M2_M1 7.200000 7.220000 7.580000 9.160000  R0 4 1
vias M2_M1 17.370000 47.420000 17.750000 49.360000  R0 4 1
vias M2_M1 2.120000 47.420000 2.500000 49.360000  R0 4 1
